DATA_BASE;DIST;ITEM;Próprio_Distribuidor;Diferente_Próprio_Distribuidor;Total
31/12/2022;6600;REDE BT AEREA                     ;34698.235137;231.551385;34929.786522
31/12/2023;6600;REDE BT AEREA                     ;38126.098662;418.763518;38544.86218
31/12/2024;6600;REDE BT AEREA                     ;38332.298819;400.069805;38732.368624
31/12/2020;6611;REDE BT AEREA                     ;3377.006966;46.087521;3423.094487
31/12/2021;6611;REDE BT AEREA                     ;3388.811586;51.755053;3440.566639
31/12/2022;6611;REDE BT AEREA                     ;3410.985252;52.468546;3463.453798
31/12/2020;6612;REDE BT AEREA                     ;861.164658;0.63056;861.795218
31/12/2021;6612;REDE BT AEREA                     ;862.378747;0.972775;863.351522
31/12/2020;26;REDE BT SUBTERRANEA               ;60.855928;41.02395;101.879878
31/12/2021;26;REDE BT SUBTERRANEA               ;4.393708;97.174211;101.567919
31/12/2022;26;REDE BT SUBTERRANEA               ;4.36954;97.128364;101.497904
31/12/2023;26;REDE BT SUBTERRANEA               ;0.325233;100.888305;101.213538
31/12/2024;26;REDE BT SUBTERRANEA               ;0.505241;100.689132;101.194373
31/12/2020;32;REDE BT SUBTERRANEA               ;51.033514;;51.033514
31/12/2020;369;REDE BT SUBTERRANEA               ;27.90241;68.518301;96.420711
31/12/2021;369;REDE BT SUBTERRANEA               ;32.734493;63.545526;96.280019
31/12/2022;369;REDE BT SUBTERRANEA               ;42.202217;69.704752;111.906969
31/12/2023;369;REDE BT SUBTERRANEA               ;5.398163;106.512789;111.910952
31/12/2024;369;REDE BT SUBTERRANEA               ;5.369007;106.542674;111.911681
31/12/2020;404;REDE BT SUBTERRANEA               ;8.244955;611.336187;619.581142
31/12/2021;404;REDE BT SUBTERRANEA               ;15.178061;684.230983;699.409044
31/12/2022;404;REDE BT SUBTERRANEA               ;10.64165;684.74712;695.38877
31/12/2023;404;REDE BT SUBTERRANEA               ;36.190058;688.889109;725.079167
31/12/2024;404;REDE BT SUBTERRANEA               ;32.852342;694.024934;726.877276
31/12/2023;405;REDE BT SUBTERRANEA               ;0.239734;15.527275;15.767009
31/12/2024;405;REDE BT SUBTERRANEA               ;0.239734;15.52728;15.767014
31/12/2020;5216;REDE BT SUBTERRANEA               ;45.457631;3.42866;48.886291
31/12/2021;5216;REDE BT SUBTERRANEA               ;49.763288;8.89175;58.655038
31/12/2022;5216;REDE BT SUBTERRANEA               ;48.699414;7.89938;56.598794
